fips_code,county,state,sum,run_start_time
51550,Chesapeake,Virginia,14,2020-08-03 00:00:00
51710,Norfolk,Virginia,1,2020-08-03 00:00:00
51735,Poquoson,Virginia,5,2020-08-03 00:00:00
51740,Portsmouth,Virginia,121,2020-08-03 00:00:00
51810,Virginia Beach,Virginia,7,2020-08-03 00:00:00
51550,Chesapeake,Virginia,6,2020-08-03 00:15:00
51700,Newport News,Virginia,120,2020-08-03 00:15:00
51735,Poquoson,Virginia,5,2020-08-03 00:15:00
51740,Portsmouth,Virginia,121,2020-08-03 00:15:00
51810,Virginia Beach,Virginia,7,2020-08-03 00:15:00
51550,Chesapeake,Virginia,6,2020-08-03 00:30:00
51700,Newport News,Virginia,120,2020-08-03 00:30:00
51735,Poquoson,Virginia,5,2020-08-03 00:30:00
51740,Portsmouth,Virginia,121,2020-08-03 00:30:00
51810,Virginia Beach,Virginia,7,2020-08-03 00:30:00
51550,Chesapeake,Virginia,6,2020-08-03 00:45:00
51700,Newport News,Virginia,120,2020-08-03 00:45:00
51740,Portsmouth,Virginia,121,2020-08-03 00:45:00
51810,Virginia Beach,Virginia,6,2020-08-03 00:45:00
51550,Chesapeake,Virginia,6,2020-08-03 01:00:00
51700,Newport News,Virginia,120,2020-08-03 01:00:00
51740,Portsmouth,Virginia,121,2020-08-03 01:00:00
51810,Virginia Beach,Virginia,6,2020-08-03 01:00:00
51550,Chesapeake,Virginia,6,2020-08-03 01:15:00
51700,Newport News,Virginia,120,2020-08-03 01:15:00
51810,Virginia Beach,Virginia,6,2020-08-03 01:15:00
51550,Chesapeake,Virginia,6,2020-08-03 01:30:00
51700,Newport News,Virginia,120,2020-08-03 01:30:00
51810,Virginia Beach,Virginia,2,2020-08-03 01:30:00
51550,Chesapeake,Virginia,6,2020-08-03 01:45:00
51700,Newport News,Virginia,120,2020-08-03 01:45:00
51810,Virginia Beach,Virginia,2,2020-08-03 01:45:00
51550,Chesapeake,Virginia,6,2020-08-03 02:00:00
51700,Newport News,Virginia,120,2020-08-03 02:00:00
51710,Norfolk,Virginia,1,2020-08-03 02:00:00
51810,Virginia Beach,Virginia,2,2020-08-03 02:00:00
51550,Chesapeake,Virginia,6,2020-08-03 02:15:00
51700,Newport News,Virginia,120,2020-08-03 02:15:00
51710,Norfolk,Virginia,1,2020-08-03 02:15:00
51810,Virginia Beach,Virginia,2,2020-08-03 02:15:00
51550,Chesapeake,Virginia,6,2020-08-03 02:30:00
51700,Newport News,Virginia,120,2020-08-03 02:30:00
51710,Norfolk,Virginia,1,2020-08-03 02:30:00
51810,Virginia Beach,Virginia,1,2020-08-03 02:30:00
51550,Chesapeake,Virginia,6,2020-08-03 02:45:00
51710,Norfolk,Virginia,1,2020-08-03 02:45:00
51810,Virginia Beach,Virginia,1,2020-08-03 02:45:00
51550,Chesapeake,Virginia,7,2020-08-03 03:00:00
51710,Norfolk,Virginia,1,2020-08-03 03:00:00
51810,Virginia Beach,Virginia,1,2020-08-03 03:00:00
51550,Chesapeake,Virginia,7,2020-08-03 03:15:00
51710,Norfolk,Virginia,1,2020-08-03 03:15:00
51810,Virginia Beach,Virginia,1,2020-08-03 03:15:00
51550,Chesapeake,Virginia,7,2020-08-03 03:30:00
51710,Norfolk,Virginia,1,2020-08-03 03:30:00
51810,Virginia Beach,Virginia,1,2020-08-03 03:30:00
51550,Chesapeake,Virginia,7,2020-08-03 03:45:00
51710,Norfolk,Virginia,1,2020-08-03 03:45:00
51810,Virginia Beach,Virginia,1,2020-08-03 03:45:00
51550,Chesapeake,Virginia,1,2020-08-03 04:00:00
51710,Norfolk,Virginia,1,2020-08-03 04:00:00
51810,Virginia Beach,Virginia,1,2020-08-03 04:00:00
51550,Chesapeake,Virginia,1,2020-08-03 04:15:00
51710,Norfolk,Virginia,1,2020-08-03 04:15:00
51810,Virginia Beach,Virginia,1,2020-08-03 04:15:00
51550,Chesapeake,Virginia,1,2020-08-03 04:30:00
51710,Norfolk,Virginia,6,2020-08-03 04:30:00
51810,Virginia Beach,Virginia,8,2020-08-03 04:30:00
51550,Chesapeake,Virginia,1,2020-08-03 04:45:00
51710,Norfolk,Virginia,6,2020-08-03 04:45:00
51810,Virginia Beach,Virginia,8,2020-08-03 04:45:00
51550,Chesapeake,Virginia,1,2020-08-03 05:00:00
51710,Norfolk,Virginia,138,2020-08-03 05:00:00
51810,Virginia Beach,Virginia,3403,2020-08-03 05:00:00
51550,Chesapeake,Virginia,1,2020-08-03 05:15:00
51710,Norfolk,Virginia,46,2020-08-03 05:15:00
51810,Virginia Beach,Virginia,257,2020-08-03 05:15:00
51550,Chesapeake,Virginia,1,2020-08-03 05:30:00
51710,Norfolk,Virginia,1,2020-08-03 05:30:00
51810,Virginia Beach,Virginia,4,2020-08-03 05:30:00
51550,Chesapeake,Virginia,1,2020-08-03 05:45:00
51810,Virginia Beach,Virginia,10,2020-08-03 05:45:00
51810,Virginia Beach,Virginia,9,2020-08-03 06:00:00
51810,Virginia Beach,Virginia,9,2020-08-03 06:15:00
51810,Virginia Beach,Virginia,9,2020-08-03 06:30:00
51810,Virginia Beach,Virginia,9,2020-08-03 06:45:00
51810,Virginia Beach,Virginia,9,2020-08-03 07:00:00
51810,Virginia Beach,Virginia,9,2020-08-03 07:15:00
51810,Virginia Beach,Virginia,9,2020-08-03 07:30:00
51810,Virginia Beach,Virginia,8,2020-08-03 07:45:00
51710,Norfolk,Virginia,1,2020-08-03 08:00:00
51810,Virginia Beach,Virginia,8,2020-08-03 08:00:00
51710,Norfolk,Virginia,1,2020-08-03 08:15:00
51810,Virginia Beach,Virginia,8,2020-08-03 08:15:00
51710,Norfolk,Virginia,1,2020-08-03 08:30:00
51810,Virginia Beach,Virginia,8,2020-08-03 08:30:00
51710,Norfolk,Virginia,1,2020-08-03 08:45:00
51810,Virginia Beach,Virginia,8,2020-08-03 08:45:00
51810,Virginia Beach,Virginia,8,2020-08-03 09:00:00
51810,Virginia Beach,Virginia,85,2020-08-03 09:15:00
51810,Virginia Beach,Virginia,342,2020-08-03 09:30:00
51810,Virginia Beach,Virginia,342,2020-08-03 09:45:00
51810,Virginia Beach,Virginia,170,2020-08-03 10:00:00
51810,Virginia Beach,Virginia,14,2020-08-03 10:15:00
